,doc,sentence,atomic_fact,precision,recall,f1-score
0,0,"Doug Sheehan is an American actor best known for his role as Ben Galvin in the hit television drama series, Knots Landing.",Doug Sheehan is an American actor.,0.9491516947746277,0.5562450885772705,0.7014243006706238
1,0,"Doug Sheehan is an American actor best known for his role as Ben Galvin in the hit television drama series, Knots Landing.",Doug Sheehan is best known for his role as Ben Galvin.,0.8552836179733276,0.6252082586288452,0.7223685383796692
2,0,"Doug Sheehan is an American actor best known for his role as Ben Galvin in the hit television drama series, Knots Landing.",Ben Galvin is a character in the television drama series Knots Landing.,0.8708781003952026,0.6951419115066528,0.7731496095657349
3,0,"Doug Sheehan is an American actor best known for his role as Ben Galvin in the hit television drama series, Knots Landing.",Knots Landing is a television drama series.,0.8199516534805298,0.4860706925392151,0.610333263874054
4,0,"Doug Sheehan is an American actor best known for his role as Ben Galvin in the hit television drama series, Knots Landing.",Knots Landing is a hit television series.<|eot_id|>.,0.48951905965805054,0.4826870858669281,0.48607906699180603
5,0,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",He has appeared in films.,0.8244882822036743,0.38466978073120117,0.5245893597602844
6,0,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",He has appeared in The Big Easy.,0.8325870037078857,0.4979245066642761,0.6231670379638672
7,0,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",The Big Easy is a film.,0.6391288042068481,0.3937537372112274,0.4872952103614807
8,0,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",He has appeared in The Last Boy Scout.,0.8637887239456177,0.5485395193099976,0.6709803938865662
9,0,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",The Last Boy Scout is a film.,0.693063497543335,0.4381262958049774,0.5368671417236328
10,0,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",He has appeared in NYPD Blue.,0.8680116534233093,0.5460836291313171,0.6704031229019165
11,0,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.",NYPD Blue is a television show.,0.6595957279205322,0.43187403678894043,0.5219792127609253
12,0,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.","He has appeared in Beverly Hills, 90210.",0.8745993971824646,0.5877461433410645,0.703038215637207
13,0,"He has also appeared in films such as The Big Easy and The Last Boy Scout, and television shows such as NYPD Blue and Beverly Hills, 90210.","Beverly Hills, 90210 is a television show.<|eot_id|>.",0.49099230766296387,0.47984200716018677,0.48535311222076416
14,0,"He was born in Los Angeles, California on August 24, 1956.",He was born in Los Angeles.,0.8785814046859741,0.6321579813957214,0.7352720499038696
15,0,"He was born in Los Angeles, California on August 24, 1956.",He was born in California.,0.843437671661377,0.5884743928909302,0.6932569146156311
16,0,"He was born in Los Angeles, California on August 24, 1956.","He was born on August 24, 1956.",0.9425384998321533,0.7603082060813904,0.8416725993156433
